csv_row_index0,catalogue_to_transmitter_distance_m,in_calibration
38888,47066.91490250726,False
38928,46727.91599839778,False
38989,47105.72057806995,False
39258,46785.6644808194,False
39938,47005.88414611317,False
40010,46732.6085582031,True
40336,46996.02712688597,False
40441,47005.57773775517,False
40890,47002.16610591006,False
40891,47088.08902336251,False
41249,46698.07483975729,False
42017,46709.72665367987,False
42755,46820.38728895398,False
42850,47110.796866374905,False
42866,46841.303910023504,False
43292,46958.24356457943,False
43464,46768.48840834743,False
43483,46936.02502265358,False
43566,47065.79135987588,False
43630,46682.524061551856,True
44166,47108.27075251102,False
44658,46993.72952512044,False
44734,46991.93652407817,True
45027,47029.22730367191,False
45204,46932.41797774291,False
45537,46952.19808663917,False
45638,46676.60828297226,False
45774,47011.85529329343,False
45962,46948.3440730341,False
46235,46790.357796944256,False
46280,47016.26066452816,False
46290,46929.16651891621,False
46338,46914.139282474425,False
46474,46783.031401622284,False
46972,46763.88235710366,False
47052,46820.616039710985,False
47299,46736.84252149639,False
47986,46939.88374080193,False
48016,46946.602779702866,False
48342,47088.358460370946,False
48484,46937.757684902055,False
48872,46950.69858720794,False
48980,46776.893046341094,False
48989,46766.53087965736,False
49769,47162.53964784086,False
49817,46834.17988806902,False
50355,46797.010126866095,False
50696,46772.65868142088,False
50830,47102.61922925517,False
50916,46981.86301642761,False
51005,46938.26132152878,True
51068,47125.408123825415,False
51300,47044.65419710254,False
51338,46969.381915045706,True
52051,46739.490142291026,False
52386,46920.884333066104,False
52510,46973.14255371191,True
52751,47097.20312757748,False
53209,47001.34356803166,False
53851,46968.86143166741,False
53912,46757.05355460076,False
54291,47058.362345736015,False
54411,47009.352907939516,True
55238,47023.16956197694,False
55482,46781.776718379166,False
56508,47083.8583597912,True
57139,46913.324235605534,False
57364,47015.66952266529,False
57943,47052.940865320845,False
57968,46967.29221543478,False
58028,47017.021355842204,False
58067,47046.59979864101,False
59206,47104.944801762314,True
59217,46701.63390964186,False
59274,47028.841304302834,False
59386,47039.33376532128,False
59508,46896.22156100294,False
59566,46962.30485426949,False
59854,47072.22632775168,True
60014,47018.08709318755,True
60055,46976.33626616114,False
60295,46940.8554244228,False
60642,46996.83950032479,True
60748,47088.41392398035,False
60772,47104.852034426,False
60823,46779.56630586283,False
61271,47000.06756592111,False
61704,46835.397134637635,False
61787,47004.38005093032,False
61814,46958.136232301316,False
62238,46938.6765109113,False
62692,46906.46078433835,False
62752,46988.626333493026,False
62929,46973.29584779065,False
63110,47174.15125908753,False
63275,46777.06416423886,False
63368,47016.552912959894,False
63968,46973.42474413973,False
64025,47001.13438892304,False
64171,46915.65488790844,False
64624,46741.6916973334,True
65032,47025.87457579647,True
65136,46856.036936322715,False
65264,47244.07807541447,False
66007,46752.79437861464,False
66216,46982.258028608274,False
66370,46878.83799155023,False
66821,47065.56977723879,False
67240,47119.33203769055,False
67868,46941.753166928094,False
68148,46932.539843057064,False
68234,46811.02361178992,False
68300,46966.07140918423,False
68336,46914.191758771914,False
68364,46951.72183303136,False
68534,47096.464960196325,False
68944,47107.98206058953,False
69026,47054.55615745423,False
69027,46733.66327601544,False
69424,47049.0818532634,False
69967,46841.71291363313,False
70023,46928.727302682506,False
70592,46887.98746056579,False
70847,46996.186310018275,False
71240,47070.06563412467,False
71257,47016.24707836181,False
71466,46783.156310360784,True
71520,47002.12433814125,False
72521,47069.99287207125,True
72531,47051.726742504914,False
73439,46744.876039805895,False
73543,46998.12217407121,False
73688,47083.83954012364,True
74431,47106.025613643054,False
74445,46738.98630948437,False
74490,46997.364186224804,False
74546,47063.62915272134,True
75304,46991.37467621271,False
75556,47107.0025969537,False
75565,47150.42294672654,False
75669,46912.14858532886,False
75718,47013.35861630011,False
75795,46996.7188349943,False
75949,46992.7908525796,False
76242,46758.37317710365,False
76430,46729.439589933005,False
76660,46992.14613561948,False
76880,46935.66029536556,False
77093,47009.26935917182,False
77231,46995.80942185384,False
77239,46732.076357653204,False
77475,47001.65933522518,False
77779,46766.35514546843,False
79195,47084.677302106196,False
79419,46994.78265003188,False
79506,47087.267858656174,False
79759,46725.047546799244,False
79874,46820.496682686135,False
79910,46984.65622598797,False
79946,46743.25513341131,False
79980,47102.7210168776,False
80268,47002.70862861981,False
80547,46932.35855966688,False
80567,46950.62773295482,False
81123,46888.491049678414,True
81145,46676.04245887779,True
81153,47070.86819834125,False
81593,47272.44836884506,False
81608,46744.66222621257,False
81872,46966.83793465673,False
81916,46841.4265179443,False
82059,47004.47753163165,True
82357,47055.34591971525,False
82372,46889.84923071298,False
82816,47089.79285931848,False
82944,46997.169364572896,False
83187,47007.35145793889,False
83734,47098.65800894142,False
84232,47044.09146987135,True
84288,46740.58228107987,False
84630,47045.675742017556,False
84722,46936.67522797094,False
84885,46782.56246044461,True
84905,46772.53372174416,False
85027,46996.71876751837,False
85302,47003.00106560001,False
85417,46810.99595582278,True
85476,47095.926380045865,False
85763,46973.85660963723,False
86180,47106.12018761608,False
86338,46791.385582757524,False
86480,46996.844212582815,False
86752,46890.13392278715,True
86893,46738.55542413498,False
86998,46937.57129712184,False
87008,46996.09325061634,False
87217,46784.29318625958,False
87341,46839.983362841296,False
87391,47087.11257083614,False
87933,46775.69639936714,False
88355,46801.97011982046,False
88518,46920.29501724082,False
88522,46794.18691494905,False
88561,46938.4445977388,True
88612,46982.70708859917,False
88748,47100.6927103392,False
89121,46997.61044355961,False
89175,46997.4246032929,False
89331,47062.77445364866,False
89759,47044.21284339791,False
90650,46673.85341455125,False
90851,46844.09490600867,False
91682,46969.79511740776,False
92266,46643.38337212062,False
92638,47099.75216305589,False
92749,46820.62372692524,True
93085,46781.167549294194,False
93140,47077.84644420304,True
93238,47105.78990350044,False
93457,47013.234549063294,False
93464,47044.88881304728,False
93952,47013.141406556744,False
94350,46751.09768250287,False
94517,46795.27421390298,False
94555,46963.59637697579,False
94814,46996.70490425062,False
95057,46815.58519680296,False
95109,47061.056734646314,False
95366,46995.08907126613,False
95975,47004.454064021375,False
96430,46927.316863838096,False
96448,46989.991011630686,False
96724,46980.95823668294,False
96920,46936.66640629028,False
97574,46820.73311799276,False
97956,47109.878308558786,False
98137,47132.39606795673,False
98456,46951.232318033246,False
98521,47158.27175468453,False
98623,47053.344146092466,False
99198,47051.700333704546,False
99279,46985.473973211694,False
99583,46971.48487175701,False
100470,47093.89740533048,True
100570,46640.63118738428,True
100692,47037.827653395296,False
100701,46733.68551795954,False
100866,46737.687679434166,False
101141,46941.98502356772,False
101251,47001.563067485666,False
101437,47258.46295812162,False
101585,46960.662135503,False
101598,46998.85929529494,False
101895,46760.666883201746,False
101915,46793.36697812729,False
102270,46961.483687487605,False
102589,47003.57188609834,False
102666,47047.04153900627,False
102957,46834.36918886086,False
103075,46994.587659655335,False
103613,46727.45749493819,False
104083,46913.63877298225,False
104292,46708.098358090705,False
104391,46973.15648943973,False
104616,47000.42453346479,True
104638,47199.29662971474,False
104727,47000.359938429596,False
105769,46746.1162311099,False
105904,46775.00450901576,False
105936,47003.27551250748,False
106038,46766.67003616001,False
106061,46983.44460159056,False
106087,47096.841035372185,False
106183,47027.91167474789,False
106574,46688.88251610523,False
106906,46937.891988433985,False
106993,46986.49540948838,False
107043,46962.55563862361,False
107945,46982.6598953817,False
107949,46738.6853010547,False
108575,46810.60999237029,False
108664,46946.25409331459,False
108828,46785.98976288163,False
109117,46776.81061004767,False
109464,46905.15803681685,False
109610,47105.21004853765,False
110126,46969.94353598124,False
110137,46995.8325480592,False
110299,46999.970110345785,True
111146,46778.53891848768,False
111181,46929.37395535393,False
111509,47065.04577027721,False
111941,46790.084028793965,False
111951,47106.27023355999,True
111981,47108.59054243523,False
112416,46767.63378974658,False
112510,47112.03145952633,False
112555,46962.73724518203,False
112606,46983.72729182116,False
113151,46963.08509319772,False
114345,46792.02764372798,False
114571,46806.899471465025,False
114770,47104.82430420688,False
114959,46930.35369173165,True
115174,46795.25923632331,False
115282,47113.81544627059,False
116213,47016.20631998252,False
116409,47095.689488409094,False
116615,46791.656955370556,False
117076,46800.2522302572,False
117366,46986.487220713774,False
118943,46802.08173612454,False
119004,46820.35994072075,False
119209,46999.44108260576,False
119369,46788.258933099634,False
119817,47102.52715462051,False
119932,46802.011975787595,False
119959,46775.57514817352,True
120096,46917.312675211586,False
120120,47103.82068298069,False
120599,46911.341810324346,True
120608,46998.50319252182,False
120630,46991.05893737344,False
121132,46748.005162008325,False
121551,46931.865069093445,False
121605,46586.36630664151,False
121895,47030.430894499244,False
122353,47088.1794379456,False
122792,46842.47041505669,False
122987,46949.68123824158,False
123054,47028.21566239162,False
123465,47082.45647831545,True
123681,46901.18522171916,False
123963,46874.36540540437,False
124116,46888.52740759033,False
124136,47112.203695046475,False
124523,47083.29622957902,False
124575,47148.732468830254,False
124763,47072.699627186135,False
125154,46753.26483239028,False
125335,46786.718756821196,False
125434,46994.11493141368,False
125515,46733.573866781626,False
125940,46795.81679188102,False
126164,47087.635649624935,False
126649,47000.37897267652,False
127051,47004.23179336164,False
127479,46909.864196229166,False
127529,47062.593249098965,True
128016,46776.20715113872,False
128743,47003.038815398264,False
128755,47209.08574685668,False
128904,46986.46309535849,False
129048,46967.77091853134,True
129262,46990.818390651075,False
129402,46988.02241469748,False
129412,46885.03470102583,False
129562,47096.50217195354,True
129610,47134.35710404253,True
129919,47154.97851270059,False
130237,46732.92632618679,True
